VendaID,ClienteID,VeiculoID,DataVenda,VendedorID,Preco,Desconto,PrecoFinal,FormaPagamento
1,526,344,2025-10-03,345,134117,2000,132117,À vista
2,261,433,2025-06-12,306,131682,10000,121682,Financiamento
3,413,697,2025-07-26,344,108492,2000,106492,À vista
4,455,325,2024-12-11,348,78136,0,78136,Leasing
5,494,283,2025-05-04,349,78671,2000,76671,Financiamento
6,410,686,2025-11-16,331,82347,0,82347,À vista
7,365,518,2024-02-01,308,134078,10000,124078,Financiamento
8,466,365,2024-08-05,325,81998,0,81998,À vista
9,438,682,2023-08-26,330,107352,5000,102352,Leasing
10,342,615,2024-03-27,314,67301,10000,57301,Financiamento
11,266,448,2023-02-12,348,113356,0,113356,Financiamento
12,243,683,2023-12-16,345,146782,2000,144782,Financiamento
13,291,313,2024-03-03,301,135038,15000,120038,À vista
14,221,567,2024-08-22,332,62678,15000,47678,Leasing
15,578,282,2023-04-13,303,138839,2000,136839,Leasing
16,296,357,2023-01-25,317,138872,2000,136872,Financiamento
17,499,452,2026-01-04,347,89124,10000,79124,Leasing
18,492,590,2023-12-20,302,123081,0,123081,À vista
19,323,643,2023-10-08,303,131368,0,131368,À vista
20,322,249,2025-06-07,312,61774,0,61774,Leasing
21,479,504,2025-07-30,307,142205,10000,132205,À vista
22,546,595,2025-12-11,319,123063,5000,118063,Leasing
23,401,542,2024-10-21,340,50108,2000,48108,À vista
24,433,328,2025-07-19,321,101043,5000,96043,Financiamento
25,317,337,2023-12-20,350,147961,5000,142961,Financiamento
26,388,311,2025-03-05,334,112380,0,112380,À vista
27,362,368,2024-04-28,327,87676,2000,85676,Leasing
28,353,620,2025-09-07,322,90466,10000,80466,Leasing
29,418,214,2025-07-04,315,82963,5000,77963,Leasing
30,457,445,2023-07-04,325,134316,15000,119316,Leasing
31,582,648,2024-07-24,312,104142,2000,102142,À vista
32,522,662,2023-02-23,326,116606,5000,111606,Leasing
33,552,271,2025-11-02,342,51452,15000,36452,Leasing
34,236,246,2025-11-17,324,119375,10000,109375,À vista
35,171,628,2025-10-07,329,101758,15000,86758,Leasing
36,342,600,2025-01-13,342,123594,15000,108594,À vista
37,288,639,2024-05-18,318,132614,15000,117614,À vista
38,171,297,2024-03-06,312,133877,15000,118877,Financiamento
39,390,573,2025-11-29,306,89404,2000,87404,Leasing
40,266,426,2024-08-18,314,97817,2000,95817,À vista
41,467,697,2024-12-26,344,108492,15000,93492,À vista
42,183,521,2023-07-24,330,140522,2000,138522,Financiamento
43,271,622,2025-02-20,325,52197,15000,37197,Leasing
44,187,577,2024-10-05,330,114287,5000,109287,Financiamento
45,452,362,2025-11-25,334,111054,5000,106054,Financiamento
46,437,355,2023-12-13,337,67895,2000,65895,Financiamento
47,533,478,2023-01-21,311,121679,0,121679,À vista
48,213,456,2025-12-14,323,124560,2000,122560,À vista
49,462,495,2023-06-24,313,72572,5000,67572,Leasing
50,380,471,2024-12-13,310,90132,2000,88132,Leasing
51,119,248,2023-11-27,305,149803,0,149803,Financiamento
52,341,227,2025-04-19,350,137128,10000,127128,À vista
53,101,455,2024-07-15,330,136501,2000,134501,Financiamento
